No,Nomor Transaksi,Nama Pengguna,Nomor Telepon,Email,Level Pengguna,Quantity,Total Pembelian,Status,Metode Pembayaran,Waktu Transaksi
1,VGN0000001130,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,910,failed,Saldo,20-01-2024 04:23:34
2,VGN0000001127,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,910,success,BCA-M,20-01-2024 04:14:32
3,VGN0000001126,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,910,success,Saldo,20-01-2024 04:01:51
4,VGN0000001125,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,910,success,Saldo,20-01-2024 03:38:34
5,VGN0000001121,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,10010,success,Saldo,20-01-2024 02:47:39
6,VGN0000001120,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,910,waiting,Saldo,20-01-2024 02:39:37
7,VGN0000001119,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,910,waiting,Saldo,20-01-2024 02:28:32
8,VGN0000001114,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,910,success,Saldo,19-01-2024 23:02:47
9,VGN0000001112,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7530,success,Saldo,19-01-2024 23:00:18
10,VGN0000001108,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7530,success,Saldo,11-01-2024 23:12:17
11,VGN0000001042,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7490,success,Saldo,11-01-2024 18:59:33
12,VGN0000001040,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7490,success,Saldo,11-01-2024 18:58:52
13,VGN0000001038,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7295,success,Saldo,11-01-2024 18:57:46
14,VGN0000001036,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7295,success,Saldo,11-01-2024 18:57:00
15,VGN0000001034,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7573,success,Saldo,11-01-2024 18:55:37
16,VGN0000001032,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7573,success,Saldo,11-01-2024 18:54:27
17,VGN0000001030,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,8047,success,Saldo,11-01-2024 18:51:47
18,VGN0000001028,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,7533,success,Saldo,11-01-2024 18:47:34
19,VGN0000001026,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,15035,success,Saldo,11-01-2024 00:04:06
20,VGN0000001024,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,15035,success,Saldo,11-01-2024 00:03:08
21,VGN0000001022,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,15140,success,Saldo,11-01-2024 00:00:25
22,VGN0000001020,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,15140,success,Saldo,10-01-2024 23:59:28
23,VGN0000001019,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,14995,success,BRI - D,10-01-2024 23:55:34
24,VGN0000001018,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,14995,success,BRI - D,10-01-2024 23:55:17
25,VGN0000001017,farid memberre,'1234567890,pulsasmart2@gmail.com,Member,1,14589,success,BRI - D,10-01-2024 23:53:42
